      ¹¦ÂÊ                      RSS

   2.1031080e-03  -6.0312303e+01
   1.0145503e+00  -5.6906796e+01
   2.0269975e+00  -5.6150017e+01
   2.9883969e+00  -5.6528407e+01
   4.0008440e+00  -5.2247874e+01
   5.0132914e+00  -5.1301900e+01
   6.0002147e+00  -5.3430342e+01
   7.0041539e+00  -4.8345731e+01
   8.0080932e+00  -4.9055212e+01
   9.0120324e+00  -4.8724121e+01
   1.0024480e+01  -4.6382835e+01
   1.0994387e+01  -4.5838900e+01
   1.1998326e+01  -4.4892926e+01
   1.2985249e+01  -4.4680082e+01
   1.3989188e+01  -4.4065199e+01
   1.5006651e+01  -4.3142874e+01
   1.6019099e+01  -4.1984056e+01
