       采样点（周期200ms)   RSS

   1.0076561e+00  -4.2765995e+01
   2.4036159e+00  -4.2765995e+01
   3.6353451e+00  -4.2707843e+01
   4.7849591e+00  -4.2591540e+01
   5.8524578e+00  -4.2707843e+01
   7.3305329e+00  -4.2707843e+01
   8.6443774e+00  -4.1544810e+01
   9.7118761e+00  -4.1486659e+01
   1.0533029e+01  -4.1370355e+01
   1.1189951e+01  -4.1370355e+01
   1.2503796e+01  -4.2591540e+01
   1.3571294e+01  -4.1486659e+01
   1.4556678e+01  -4.1428507e+01
   1.5542061e+01  -4.1544810e+01
   1.6445329e+01  -4.2649691e+01
   1.7348597e+01  -4.2591540e+01
   1.8333981e+01  -4.1602962e+01
   1.9647825e+01  -4.2649691e+01
   2.0551093e+01  -4.2707843e+01
   2.1782823e+01  -4.1370355e+01
   2.2686091e+01  -4.1370355e+01
   2.3507244e+01  -4.1370355e+01
   2.4492627e+01  -4.1428507e+01
   2.5395895e+01  -4.2591540e+01
   2.6217048e+01  -4.2591540e+01
   2.7284547e+01  -4.2591540e+01
   2.8269930e+01  -4.1486659e+01
   2.9748005e+01  -4.1544810e+01
   3.0651273e+01  -4.2649691e+01
   3.1636657e+01  -4.2649691e+01
   3.2457810e+01  -4.1544810e+01
   3.3361078e+01  -4.0788839e+01
   3.4674922e+01  -4.2533388e+01
   3.5496075e+01  -4.1719265e+01
   3.6645689e+01  -4.0788839e+01
   3.7713188e+01  -4.1486659e+01
   3.8944917e+01  -4.2649691e+01
   3.9766070e+01  -4.2649691e+01
   4.0587223e+01  -4.2707843e+01
   4.1818952e+01  -4.0788839e+01
   4.2886450e+01  -4.1544810e+01
   4.3625488e+01  -4.1544810e+01
   4.4610871e+01  -4.2417085e+01
   4.5842601e+01  -4.1428507e+01
   4.6910099e+01  -4.1428507e+01
   4.7731252e+01  -4.1370355e+01
   4.8880866e+01  -4.2358933e+01
   4.9702019e+01  -4.1661114e+01
   5.0687402e+01  -4.9569736e+01
   5.1919132e+01  -5.3349593e+01
   5.2822400e+01  -5.5384901e+01
   5.4054129e+01  -5.5384901e+01
   5.5039512e+01  -6.0385941e+01
   5.5942780e+01  -6.0385941e+01
   5.6928164e+01  -6.2944613e+01
   5.8077778e+01  -6.2421249e+01
   5.8816815e+01  -7.1318448e+01
   5.9637968e+01  -7.1260297e+01
   6.0787582e+01  -7.1318448e+01
   6.1690850e+01  -7.1260297e+01
   6.2758349e+01  -7.1260297e+01
   6.4154309e+01  -7.2016268e+01
   6.4975462e+01  -7.2074420e+01
   6.5960845e+01  -7.2016268e+01
   6.6946228e+01  -7.2074420e+01
   6.7849496e+01  -7.3062997e+01
   6.9163341e+01  -7.2074420e+01
   7.0230840e+01  -7.2074420e+01
   7.1380454e+01  -7.2074420e+01
   7.2447952e+01  -7.2016268e+01
   7.3269105e+01  -7.2016268e+01
   7.4747180e+01  -7.2074420e+01
   7.5978909e+01  -7.1318448e+01
   7.6882178e+01  -7.2074420e+01
   7.7949676e+01  -7.1202145e+01
   7.9341477e+01  -7.1939359e+01
   8.0411894e+01  -7.2023586e+01
   8.1482311e+01  -7.1981473e+01
   8.2314857e+01  -7.1981473e+01
   8.3861015e+01  -7.1139208e+01
   8.5169302e+01  -7.1981473e+01
   8.6477589e+01  -7.1897246e+01
   8.8261617e+01  -7.1012869e+01
   8.9272567e+01  -7.1012869e+01
   9.0224048e+01  -7.1012869e+01
   9.1234998e+01  -7.1012869e+01
   9.2067544e+01  -7.1097095e+01
   9.2900090e+01  -7.1097095e+01
   9.3732637e+01  -7.1097095e+01
   9.4624650e+01  -7.1097095e+01
   9.5338262e+01  -7.1097095e+01
   9.6170808e+01  -7.1097095e+01
   9.7122289e+01  -7.1012869e+01
   9.8490044e+01  -7.1897246e+01
   9.9738864e+01  -7.1181322e+01
   1.0045247e+02  -7.1813020e+01
   1.0128502e+02  -7.1770907e+01
   1.0247437e+02  -7.1097095e+01
   1.0348532e+02  -7.1054982e+01
   1.0455574e+02  -7.1054982e+01
   1.0526935e+02  -7.1770907e+01
   1.0616136e+02  -7.1728793e+01
   1.0705338e+02  -7.1728793e+01
   1.0782646e+02  -7.1770907e+01
   1.0883741e+02  -7.1770907e+01
   1.0949155e+02  -7.1770907e+01
   1.1026463e+02  -7.1770907e+01
   1.1139451e+02  -7.1012869e+01
   1.1216759e+02  -7.1012869e+01
   1.1311907e+02  -7.0970756e+01
   1.1401109e+02  -7.1012869e+01
   1.1496257e+02  -5.9221171e+01
   1.1567618e+02  -5.9094831e+01
   1.1674660e+02  -5.9094831e+01
   1.1728181e+02  -5.0208944e+01
   1.1835222e+02  -5.0124717e+01
   1.1960104e+02  -4.9450906e+01
   1.2084986e+02  -5.0124717e+01
   1.2156347e+02  -4.3344491e+01
   1.2257442e+02  -4.3302378e+01
   1.2352590e+02  -4.3344491e+01
   1.2435845e+02  -4.1280944e+01
   1.2554780e+02  -4.1280944e+01
   1.2632088e+02  -4.2460114e+01
   1.2774810e+02  -4.1238831e+01
   1.2864012e+02  -4.1238831e+01
   1.2917533e+02  -4.2418001e+01
   1.3042415e+02  -4.2418001e+01
   1.3137563e+02  -4.1154604e+01
   1.3268392e+02  -4.1280944e+01
   1.3415605e+02  -4.2441743e+01
   1.3535369e+02  -4.2394625e+01
   1.3622819e+02  -4.1165873e+01
   1.3720818e+02  -4.1200574e+01
   1.3818818e+02  -4.2172180e+01
   1.3965817e+02  -4.1096473e+01
   1.4078517e+02  -4.1165873e+01
   1.4240216e+02  -4.2172180e+01
   1.4318616e+02  -4.0298368e+01
   1.4431315e+02  -4.0367769e+01
   1.4524415e+02  -4.1269974e+01
   1.4602814e+02  -4.2310980e+01
   1.4720414e+02  -4.2241580e+01
   1.4862513e+02  -4.1165874e+01
   1.4999713e+02  -4.0402469e+01
   1.5107512e+02  -4.1304674e+01
   1.5205512e+02  -4.2276280e+01
   1.5318212e+02  -4.2276280e+01
   1.5421111e+02  -4.0992372e+01
   1.5499511e+02  -4.0992372e+01
   1.5587710e+02  -4.2276280e+01
   1.5705310e+02  -4.2206880e+01
   1.5793509e+02  -4.1131173e+01
   1.5906209e+02  -4.2206880e+01
   1.5984609e+02  -4.2276280e+01
   1.6087508e+02  -4.2172180e+01
   1.6185508e+02  -4.1235274e+01
   1.6283507e+02  -4.2276280e+01
   1.6401107e+02  -4.1165874e+01
   1.6508906e+02  -4.2172180e+01
   1.6616706e+02  -4.2102779e+01
   1.6675506e+02  -4.1096473e+01
   1.6802905e+02  -4.2276280e+01
